"accuracy","cl","alpha","n"
58.5,"qda",1.9,115.555555555556
100,"qda",1,136.666666666667
98.5,"qda",1.1,136.666666666667
100,"qda",1.2,136.666666666667
100,"qda",1.3,136.666666666667
100,"qda",1.4,136.666666666667
98,"qda",1.5,136.666666666667
95.5,"qda",1.6,136.666666666667
89.5,"qda",1.7,136.666666666667
79,"qda",1.8,136.666666666667
69.5,"qda",1.9,136.666666666667
100,"qda",1,157.777777777778
100,"qda",1.1,157.777777777778
100,"qda",1.2,157.777777777778
99.5,"qda",1.3,157.777777777778
99,"qda",1.4,157.777777777778
99,"qda",1.5,157.777777777778
97.5,"qda",1.6,157.777777777778
91,"qda",1.7,157.777777777778
82,"qda",1.8,157.777777777778
63,"qda",1.9,157.777777777778
100,"qda",1,178.888888888889
99.5,"qda",1.1,178.888888888889
100,"qda",1.2,178.888888888889
100,"qda",1.3,178.888888888889
100,"qda",1.4,178.888888888889
99.5,"qda",1.5,178.888888888889
99,"qda",1.6,178.888888888889
96,"qda",1.7,178.888888888889
84.5,"qda",1.8,178.888888888889
63,"qda",1.9,178.888888888889
100,"qda",1,200
100,"qda",1.1,200
100,"qda",1.2,200
99.5,"qda",1.3,200
100,"qda",1.4,200
99.5,"qda",1.5,200
99.5,"qda",1.6,200
96,"qda",1.7,200
86,"qda",1.8,200
71.5,"qda",1.9,200
